PID,MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Yr_Blt,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Longitude,Latitude,Sale_Price
905102170,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,70,11200,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,OneFam,One_Story,Average,Average,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0,Typical,Typical,CBlock,Typical,Typical,No,Rec,6,Unf,0,134,1040,GasA,Excellent,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,Typical,5,Typ,0,No_Fireplace,Detchd,1965.0,Unf,1,384,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,2,2008,WD ,Normal,-93.669806,42.033225,129500
908152180,Duplex_All_Styles_and_Ages,Residential_Low_Density,0,9555,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,CulDSac,Gtl,Edwards,Norm,Norm,Duplex,Two_Story,Average,Above_Average,1979,1979,Gable,CompShg,Plywood,Plywood,None,0,Typical,Typical,Slab,No_Basement,No_Basement,No_Basement,No_Basement,5,No_Basement,0,0,0,GasA,Typical,Y,SBrkr,1100,1133,0,2233,0,0,2,1,5,2,Typical,11,Typ,0,No_Fireplace,Attchd,1979.0,Fin,2,579,Typical,Good,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,2,2007,WD ,Normal,-93.674327,42.01917,141000
902305080,Two_and_Half_Story_All_Ages,Residential_Medium_Density,60,9600,Pave,Gravel,Regular,Lvl,AllPub,Inside,Gtl,Old_Town,Norm,Norm,OneFam,Two_and_Half_Unf,Above_Average,Average,1917,1950,Gable,CompShg,AsbShng,AsbShng,None,0,Typical,Typical,BrkTil,Good,Typical,No,Rec,6,Unf,0,416,735,OthW,Fair,N,SBrkr,1134,924,0,2058,0,0,1,1,3,1,Typical,8,Typ,1,Good,Detchd,1950.0,Unf,2,396,Fair,Fair,Partial_Pavement,0,0,259,0,0,0,No_Pool,No_Fence,None,0,4,2008,WD ,Normal,-93.616885,42.02793,129500
906475050,Split_or_Multilevel,Residential_Low_Density,0,21453,Pave,No_Alley_Access,Slightly_Irregular,Low,AllPub,CulDSac,Sev,Clear_Creek,Norm,Norm,OneFam,SLvl,Above_Average,Average,1969,1969,Flat,Metal,Plywood,Plywood,None,0,Typical,Typical,CBlock,Typical,Typical,Gd,ALQ,1,Unf,0,0,938,GasA,Excellent,Y,SBrkr,988,0,0,988,1,0,1,0,1,1,Typical,4,Typ,2,Typical,Attchd,1969.0,Unf,2,540,Typical,Typical,Paved,0,130,0,130,0,0,No_Pool,No_Fence,None,0,10,2006,WD ,Normal,-93.682095,42.025573,180000
911370490,One_Story_PUD_1946_and_Newer,Residential_Medium_Density,44,3843,Pave,No_Alley_Access,Slightly_Irregular,HLS,AllPub,Inside,Mod,Crawford,Norm,Norm,TwnhsE,One_Story,Very_Good,Average,2007,2008,Hip,CompShg,CemntBd,CmentBd,Stone,186,Excellent,Typical,PConc,Excellent,Typical,Gd,GLQ,3,Unf,0,120,1596,GasA,Excellent,Y,SBrkr,1648,0,0,1648,1,1,2,0,2,1,Excellent,5,Typ,1,Good,Attchd,2007.0,Fin,2,525,Typical,Typical,Paved,162,53,0,153,0,0,No_Pool,No_Fence,None,0,8,2008,New,Partial,-93.616584,42.008803,294464
909101180,Two_Family_conversion_All_Styles_and_Ages,Residential_Low_Density,55,5687,Pave,Gravel,Regular,Bnk,AllPub,Inside,Gtl,South_and_West_of_Iowa_State_University,Norm,Norm,TwoFmCon,Two_Story,Average,Above_Average,1912,2000,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,Fair,PConc,Typical,Fair,No,Rec,6,Unf,0,570,780,GasA,Excellent,N,SBrkr,936,780,0,1716,1,0,2,0,6,1,Fair,9,Typ,0,No_Fireplace,No_Garage,nan,No_Garage,0,0,No_Garage,No_Garage,Dirt_Gravel,0,184,0,0,0,0,No_Pool,No_Fence,None,0,3,2008,WD ,Normal,-93.655851,42.0214496,135900
532353130,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,71,7064,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,OneFam,One_Story,Average,Above_Average,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,153,Typical,Typical,CBlock,Typical,Typical,No,BLQ,2,Unf,0,420,980,GasA,Typical,Y,SBrkr,980,0,0,980,0,0,1,0,3,1,Typical,6,Typ,0,No_Fireplace,Detchd,1986.0,Unf,2,484,Typical,Typical,Paved,192,0,0,0,0,0,No_Pool,No_Fence,None,0,7,2009,WD ,Normal,-93.677008,42.034747,135000
533236040,Two_Story_PUD_1946_and_Newer,Floating_Village_Residential,24,2645,Pave,Paved,Regular,Lvl,AllPub,Inside,Gtl,Somerset,Norm,Norm,Twnhs,Two_Story,Very_Good,Average,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456,Good,Typical,PConc,Good,Typical,No,Unf,7,Unf,0,776,776,GasA,Excellent,Y,SBrkr,764,677,0,1441,0,0,2,1,2,1,Good,5,Typ,0,No_Fireplace,Detchd,1999.0,Unf,2,492,Typical,Typical,Paved,206,0,0,0,0,0,No_Pool,No_Fence,None,0,11,2007,WD ,Normal,-93.641813,42.047171,174000
903225160,Two_Story_1945_and_Older,Residential_Medium_Density,59,5870,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Brookside,Feedr,Feedr,OneFam,Two_Story,Above_Average,Excellent,1900,2000,Gable,CompShg,HdBoard,HdBoard,None,0,Typical,Good,BrkTil,Typical,Typical,No,Unf,7,Unf,0,554,554,GasA,Excellent,Y,SBrkr,736,554,0,1290,0,0,1,1,3,1,Typical,6,Typ,0,No_Fireplace,Detchd,1926.0,Unf,1,200,Fair,Typical,Paved,38,112,0,0,0,0,No_Pool,Minimum_Privacy,Shed,400,4,2008,WD ,Normal,-93.625589,42.033699,106900
528235190,Two_Story_1946_and_Newer,Residential_Low_Density,59,9171,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Good,Average,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0,Good,Typical,PConc,Good,Typical,Av,Unf,7,Unf,0,848,848,GasA,Excellent,Y,SBrkr,848,750,0,1598,0,0,2,1,3,1,Good,7,Typ,1,Good,Attchd,2004.0,Fin,2,433,Typical,Typical,Paved,100,48,0,0,0,0,No_Pool,No_Fence,None,0,7,2006,WD ,Normal,-93.644094,42.061727,201490
