PID,MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Yr_Blt,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Longitude,Latitude,Sale_Price
906394040,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,78,9316,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Good,Average,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,140,Good,Typical,PConc,Good,Typical,Gd,GLQ,3,Unf,0,1558,1614,GasA,Excellent,Y,SBrkr,1614,0,0,1614,0,0,2,0,3,1,Good,7,Typ,1,Good,Attchd,2005.0,Fin,2,576,Typical,Typical,Paved,100,45,0,0,0,0,No_Pool,No_Fence,None,0,3,2006,WD ,Normal,-93.688934,42.023308,225000
534452060,Two_Family_conversion_All_Styles_and_Ages,Residential_Low_Density,50,7420,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Brookside,Artery,Artery,TwoFmCon,One_and_Half_Unf,Average,Above_Average,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0,Typical,Typical,BrkTil,Typical,Typical,No,GLQ,3,Unf,0,140,991,GasA,Excellent,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,Typical,5,Typ,2,Typical,Attchd,1939.0,RFn,1,205,Good,Typical,Paved,0,4,0,0,0,0,No_Pool,No_Fence,None,0,1,2008,WD ,Normal,-93.627578,42.034563,118000
532479070,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,39,15410,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRNe,Norm,OneFam,One_Story,Above_Average,Above_Average,1974,2002,Hip,CompShg,Plywood,Plywood,BrkCmn,250,Typical,Good,CBlock,Typical,Typical,Gd,BLQ,2,GLQ,859,223,1208,GasA,Excellent,Y,SBrkr,1494,0,0,1494,1,0,2,0,3,1,Typical,7,Typ,2,Fair,Attchd,1974.0,Fin,2,461,Typical,Typical,Paved,296,0,186,0,0,0,No_Pool,Good_Privacy,None,0,4,2010,WD ,Abnorml,-93.660672,42.034603,169000
907200270,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,45,8982,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,CulDSac,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Average,Average,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0,Typical,Typical,CBlock,Good,Typical,Av,ALQ,1,Unf,0,501,1040,GasA,Typical,Y,SBrkr,1040,0,0,1040,0,0,1,1,3,1,Typical,5,Typ,0,No_Fireplace,Detchd,1977.0,Unf,2,748,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,Minimum_Privacy,None,0,1,2007,WD ,Normal,-93.687734,42.022239,134900
534175140,Duplex_All_Styles_and_Ages,Residential_Low_Density,75,9750,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northwest_Ames,RRAn,Norm,Duplex,One_Story,Average,Above_Average,1965,1965,Gable,CompShg,MetalSd,MetalSd,None,0,Typical,Typical,CBlock,Typical,Typical,No,Unf,7,Unf,0,1625,1625,GasA,Excellent,Y,SBrkr,1625,0,0,1625,0,0,2,0,4,2,Typical,8,Typ,0,No_Fireplace,Detchd,1965.0,Unf,2,484,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,8,2008,ConLD,Normal,-93.6324549,42.042943,140500
911370500,One_Story_PUD_1946_and_Newer,Residential_Medium_Density,44,3843,Pave,No_Alley_Access,Slightly_Irregular,HLS,AllPub,Inside,Mod,Crawford,Norm,Norm,TwnhsE,One_Story,Very_Good,Average,2007,2008,Hip,CompShg,CemntBd,CmentBd,Stone,174,Excellent,Typical,PConc,Excellent,Typical,Gd,GLQ,3,Unf,0,120,1596,GasA,Excellent,Y,SBrkr,1648,0,0,1648,1,1,2,0,2,1,Excellent,5,Typ,1,Good,Attchd,2007.0,Fin,2,482,Typical,Typical,Paved,162,53,0,153,0,0,No_Pool,No_Fence,None,0,6,2009,New,Partial,-93.6165709,42.008683,230000
916176030,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,14375,Pave,No_Alley_Access,Slightly_Irregular,Lvl,NoSeWa,CulDSac,Gtl,Timberland,Norm,Norm,OneFam,SLvl,Above_Average,Above_Average,1958,1958,Gable,CompShg,HdBoard,HdBoard,BrkFace,541,Typical,Typical,CBlock,Typical,Typical,No,GLQ,3,Rec,354,354,819,GasA,Good,Y,FuseA,1344,0,0,1344,0,1,1,0,3,1,Good,7,Typ,1,Good,Basment,1958.0,RFn,2,525,Typical,Typical,Paved,0,118,0,0,233,0,No_Pool,No_Fence,None,0,1,2009,COD,Abnorml,-93.64978,42.001246,137500
909176150,One_Story_1945_and_Older,Residential_Low_Density,0,7890,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,South_and_West_of_Iowa_State_University,Norm,Norm,OneFam,One_Story,Above_Average,Above_Average,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Typical,Typical,CBlock,Typical,Typical,No,Rec,6,Unf,0,618,856,GasA,Typical,Y,SBrkr,856,0,0,856,1,0,1,0,2,1,Typical,4,Typ,1,Good,Detchd,1939.0,Unf,2,399,Typical,Typical,Paved,0,0,0,0,166,0,No_Pool,No_Fence,None,0,3,2010,WD ,Normal,-93.6514413,42.0177987,126000
528228360,One_Story_PUD_1946_and_Newer,Residential_Low_Density,0,2938,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Bloomington_Heights,Norm,Norm,TwnhsE,One_Story,Good,Average,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,40,Good,Typical,PConc,Good,Typical,Av,GLQ,3,Unf,0,330,1368,GasA,Excellent,Y,SBrkr,1511,0,0,1511,1,0,2,0,2,1,Good,5,Typ,1,Typical,Attchd,2002.0,Fin,2,398,Typical,Typical,Paved,130,30,0,0,0,0,No_Pool,No_Fence,None,0,5,2006,WD ,Normal,-93.640227,42.063185,246990
535402180,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,75,8700,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,Good,1961,1961,Gable,CompShg,HdBoard,HdBoard,BrkFace,53,Typical,Typical,CBlock,Typical,Typical,No,ALQ,1,Unf,0,728,920,GasA,Good,Y,SBrkr,888,0,0,888,0,1,1,0,3,1,Typical,5,Typ,0,No_Fireplace,Attchd,1961.0,Unf,1,240,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,2,2007,COD,Abnorml,-93.609148,42.039983,120000
916403250,Split_or_Multilevel,Residential_Low_Density,125,14419,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,Timberland,Norm,Norm,OneFam,SLvl,Good,Average,1987,1989,Hip,CompShg,Plywood,Plywood,BrkFace,310,Typical,Typical,PConc,Good,Typical,Gd,GLQ,3,ALQ,624,117,1645,GasA,Excellent,Y,SBrkr,1479,0,0,1479,2,0,2,1,3,1,Good,7,Min1,1,Fair,Attchd,1987.0,Fin,2,578,Typical,Typical,Paved,224,238,0,0,0,0,No_Pool,No_Fence,None,0,7,2009,WD ,Normal,-93.6446004,41.9981656,213500
906380120,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,68,8814,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Good,Average,2005,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,80,Good,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,349,1274,GasA,Excellent,Y,SBrkr,1274,0,0,1274,1,0,2,0,3,1,Good,6,Typ,0,No_Fireplace,Attchd,2005.0,RFn,2,508,Typical,Typical,Paved,264,98,0,0,0,0,No_Pool,No_Fence,None,0,1,2007,New,Partial,-93.689071,42.024598,203000
